title,short_description,page
ELEVENTH HEAVEN: Ed O'Bannon and the 1995 National Basketball Champion UCLA Bruins,,452
Satchel,The Life and Times of an American Legend,432
100 Things Angels Fans Should Know & Do Before They Die,100 Things...Fans Should Know,272
Altro tiro altro giro altro regalo,,256
Tales from the Kansas City Royals Dugout,A Collection of the Greatest Royals Stories Ever Told,208
Basketball Anatomy,,208
Underground double play - The American Dream of Tomato baseball club,,29104
Finishing Basics HoopHandbook Program,,5
Sandy Koufax,A Lefty's Legacy,352
Washington Senators All-Time Greats <!--Washington Nationals-->,,395
"Effective Zone Offenses for the High School Coach (Winning Ways Basketball, #3)",,24
Washington Baseball Annual Vol. 2,,153
Tales from the Dugout : The Greatest True Baseball Stories Ever Told,,256
Winter Trails??? Colorado,The Best Cross-Country Ski and Snowshoe Trails,224
Underdogs,How Two Indian Athletes Beat the Million Dollar Arm and Became Professional Baseball Players,100
Tales from the Dodgers Dugout,A Collection of the Greatest Dodger Stories Ever Told,240
Sandlot Stories ( Illustrated ),,173
Fine Tuning Your Fast Break: 75 Concepts to Improve Any Team's Fast Break Offense,,88
10 Sports Scandals That Rocked the Game,,0
Basketball,The Keys to Excellence,116
Allen Iverson HoopHandbook Signature Workout Program,,20
"Effective Man-to-Man Offenses for the High School Coach (Winning Ways Basketball, #2)",,31
Winter Cycling,The Definitive Guide to Cold-Weather Winter Bike Rides,120
Under the March Sun: The Story of Spring Training,,336
Got to Give the People What They Want,True Stories and Flagrant Opinions from Center Court,288
Warsaw to Wrigley,A Foreign Correspondent's Tale of Coming Home from Communism to the Cubs,258
"Eduard Portela, l'home de l'ACB",,219
Final Score! In the Paint,,292
San Francisco Giants: An Interactive Guide to the World of Sports,An Interactive Guide to the World of Sports,309
Baron Davis Signature Workout Program,,30
Tales from the Baltimore Orioles Dugout,A Collection of the Greatest Orioles Stories Ever Told,224
Win at Winter Sports,Brilliant Little Ideas for Skiing and Snowboarding,128
#LetsGoBucs,A Summer With the 2012 Pittsburgh Pirates,385
Gone Pro: North Carolina,Tar Heel Stars Who Became Pros,320
"Under Pallor, Under Shadow",The 1920 American League Pennant Race That Rattled and Rebuilt Baseball,300
Warren Ballpark,,128
"San Francisco Giants: A Fan's Journal 2010, 2012, 2014",,137
"All or Nothing, The Victor Page Story",,22
Fightin' Words,Kentucky vs. Louisville,272
Tales from the 1979 Pittsburgh Pirates Dugout,Remembering ??The Fam-A-Lee??,192
Baloncesto,Ejercicios para el entrenamiento del tiro,132
Weissflog,Geschichten meines Lebens,304
War on the Basepaths,The Definitive Biography of Ty Cobb,400
Echoes of Kentucky Basketball,The Greatest Stories Ever Told,195
Viva El Birdos Baseball Annual 2012,,103
Said in Stone,"Your Game, My Way",256
Golden Boys,The Golden State Warriors&#39; Historic 2015 Championship Season,128
Unbreakable,The 25 Most Unapproachable Records in Baseball,224
View from the Booth,"Four Decades with the Phillies, Updated and Expanded",393
Walter Johnson,Baseball's Big Train,516
"Fight, Grin and Squarely Play the Game",The 1945 Loyola New Orleans Basketball Championship and Legacy,128
Echoes of Kansas Basketball,The Greatest Stories Ever Told,224
Ball Is Not Life,,84
Taking the Field,A Fan's Quest to Run the Team He Loves,256
Back from the Dead,,0
Safe at Home: A Season in the Valley,A Season in the Valley,363
Ultimate Baseball Road Trip,A Fan's Guide to Major League Stadiums,512
Glory Days,"On Sports, Men, and Dreams-That Don't Die",250
Earl the Pearl,My Story,448
"""Then Roy Said to Mickey. . .""",Best Sports Stories Ever Told - The Best Yankees Stories Ever Told,224
Fast Break to Line Break,Poets on the Art of Basketball,234
"Walter ""Red"" Barber",Fairness,32
Gilbert Arenas Signature Workout Program,,35
Adventure Guide to the Triangle,,452
Take Time for Paradise,Americans and Their Games,128
Veeck--As In Wreck,The Autobiography of Bill Veeck,400
Vaudeville on the Diamond,Minor League Baseball in Today??s Entertainment World,184
T-Ball Skills & Drills,,134
Facing Michael Jordan,Players Recall the Greatest Basketball Player Who Ever Lived,224
Wait Till Next Year,,272
George Glamack UNC Tar Heels and Rochester Royals Center,,24
ACC Basketball Hall of Fame: Duke Edition,,110
ACC Basketball,"The Story of the Rivalries, Traditions, and Scandals of the First Two Decades of the Atlantic Coast Conference",416
Geno,In Pursuit of Perfection,336
Gary Payton Signature Workout Program,,30
"""Lady in the Locker Room"": Adventures of a Trailblazing Sports Journalist",,364
About Basketball,"A Quick Start Guide On the History of Basketball, Basketball Rules, Best Basketball Quotes, College Basketball, Famous Basketball Players, and Winning Strategies On How to Play Basketball & How to Shoot a Basketball",54
Tales of a First-Round Nothing,My Life as an NHL Footnote,252
Mastering Snowboarding,,216
Racing Toward Recovery,The Extraordinary Story of Alaska Musher Mike Williams Sr.,214
Planification en escalade : le PAD,1??re partie,94
Le Bon Vivant,life at ease by Unique Stays,29
"Narciarstwo dla zaawansowanych. Karwing, stromizny, muldy, puch",,57
Jacques Plante,The Man Who Changed the Face of Hockey,336
Open Ice,Reflections and Confessions of a Hockey Lifer,256
Shamandura Generation,,242
Back of the Pack,An Iditarod Rookie Musher's Alaska Pilgrimage to Nome,400
Confessions of a Snowmobile Enthusiast,,135
Designed by Adventure,30 Years of Outdoor Research,112
Fast into the Night,"A Woman, Her Dogs, and Their Journey North on the Iditarod Trail",0
Glacier Travel and Crevasse Rescue,Second Edition,144
Help2Ski,,22
Ice and Mixed Climbing,Modern Technique,208
Memories of Calgary '88,The Stars of the Winter Games Look Back 25 Years Later,34
Backcountry Skiing Utah,A Guide to the State's Best Ski Tours,304
Curling For Dummies,,1
Fire on Ice,Gospel Lessons Learned from a Lifetime of Sports,490
How to Photograph Alpine Ski Racing,,22
Ice Stock Sport,As a Leisure Activity,166
Velejando Melhor,Teoria e T??cnica,268
Water Exercises,Workouts with the Aqua Noodle,136
Basic Illustrated Cross-Country Skiing,,112
Free Heel Skiing,Telemark & Parallel Techniques for All Conditions,208
"Wind Strategies for Kayakers: Challenges, Solutions, & Mastery",,19
101 Games and Activities for Canoes and Kayaks,,146
"Allen & Mike's Really Cool Telemark Tips, Revised and Even Better!",123 Amazing Tips to Improve Your Tele-Skiing,136
Let It Snow,Keeping Canada's Winter Sports Alive,184
Snow Fall: The Avalanche at Tunnel Creek,,75
Unofficial Olympic Guidebooks - Luge,,25
Snow Tales and Powder Trails,Adventures on Skis,122
Basic Illustrated Snowshoeing,,112
Freeride,"Praxiswissen vom Profi zu Ausr??stung, Technik und Sicherheit",192
Windsurfen,Action for Kids,40
Yachting: Start To Finish (For Tablet Devices),Beginner to Advanced: The Perfect Guide to Improving Your Sailing Skills,192
Buried,,336
Snow Travel,"Skills for Climbing, Hiking, and Crossing Over Snow",208
Brush Like a Badass,A curler's guide to great sweeping,42
4-Steps to Water Skiing Success,,12
Avalanche Essentials,A Step-by-Step System for Safety and Survival,189
101 Offensive Water Polo Drills,,140
AMC Guide to Winter Hiking and Camping,Everything You Need to Plan Your Next Cold-Weather Adventure,208
Lost Ski Areas of Southern Vermont,,160
Snowboarding,Learning to Ride from All Mountain to Park,208
Snow Sledding For Fun: Tobogganing In the 21st Century,,20
Backpacker Winter Camping Skills,,96
Fratelli di cordata,"Due vite in montagna, una passione verticale",129
Iditarod,,128
Whitewater Rafting,An Overview,47
Yachting: Start To Finish,Beginner to Advanced: The Perfect Guide to Improving Your Sailing Skills,205
Snowshoe Routes: New England,,240
101 Defensive and Conditioning Water Polo Drills,,148
Skoki narciarskie. Historia lat 2006-2008,"Rozwa??ania o ma??yszomanii, nartach i g??rach",161
Unofficial Olympic Guidebooks - Ice Dancing,,20
Snowshoe Routes: Adirondacks & Catskills,,240
"Allen & Mike's Really Cool Backcountry Ski Book, Revised and Even Better!",Traveling & Camping Skills for a Winter Environment,128
Snowshoe Routes: Oregon,,205
Snowshoe Routes: Northern California,,224
"""My Name Is Ramona...""",,38
Abenteuer SkiTransalp,Au??ergew??hnliche ??berschreitungen des Alpenhauptkamms,168
Running North,A Yukon Adventure,326
Norge: skisportens vugge,,128
Skitourenklassiker in den Alpen,50 Traumtouren von Berchtesgaden bis Zermatt,144
Snowshoe Routes: Washington,,256
Snowshoeing,From Novice to Master,160
Unofficial Olympic Guidebooks - Freestyle Skiing,,31
Backcountry Ski & Snowboard Routes Washington,,320
Cross Country Skiing,Building Skills for Fun and Fitness,240
Snowshoeing in the Canadian Rockies,,344
Fighting the Good Fight,Why On-Ice Violence Is Killing Hockey,240
Golden Oldies,Stories of Hockey's Heroes,240
Speed Kings,The 1932 Winter Olympics and the Fastest Men in the World,0
Hockey Confidential,,304
Ice Gold,Canada??s Curling Champions,240
Mountain Travel & Rescue,"National Ski Patrol's Manual for Mountain Rescue, 2nd Edition",288
Learn to Snowboard in 2 Days: Your Simple Step by Step Guide to Snowboarding Success!,,0
Spiritual Adventures in the Snow,Skiing & Snowboarding as Renewal for Your Soul,208
Rodeln in den Bayerischen Alpen,Die sch??nsten Strecken und die gem??tlichsten H??tten,144
Nine Dog Winter,,489
Squaw Valley and Alpine Meadows,Tales from Two Valleys,160
Skiing with Santa,Secrets in the Snow short stories #1,18
PREALPI iEdition 01,Una Montagna di Sport,52
Skiing and Snowboarding,52 Brilliant Ideas for Fun On the Slopes,256
Summits & Icefields 1,Alpine Ski Tours in the Canadian Rockies,248
Unofficial Olympic Guidebooks - Curling,,32
Unofficial Olympic Guidebooks - Bobsleigh,,32
Stellicktricity,"Stories, Highlights, and Other Hockey Juice from a Life Plugged into the Game",288
The Timeless Hockey Pond,,262
Unofficial Olympic Guidebooks,,28
Ultimate Canoe & Kayak Adventures,100 Extraordinary Paddling Experiences from Around the World,208
Naufrage dans le Gulf Stream,,262
Landratten unterwegs auf der Donau,2.500 km von Beingries bis zum Schwaren Meer,162
Sail Smart,"Understand the Instruments On-Board your Boat to Sail Faster, Make the Right Calls & Win Races",102
Manuale per la patente nautica entro le 12 miglia,,134
Ocean Fever: The Damian Foxall Story,,288
Kayaking 101: Essential Guide to Kayaking,,100
Team Racing Companion,Become Champions On The Water,24
Red Paddle Co 2015 Product Brochure,,40
Nutrition for Swimmers,For Junior and Age Group Swimmers,43
Learn to Fly-Cast in a Weekend,,125
Sailing Around Britain,A Weekend Sailor??s Voyage in 50 Day Sails,223
Olympic Obsession. The Inside Story of Rowing,Britain??s Most Successful Sport,256
KITEBOARDING EQUIP GUIDE,?????????????????????. ????????? ???????????????????????,57
This Is Windsurfing,Vote Windsurfing,0
Ricordi d'estate,,51
Die Reise in einem Cocktailshaker,Mit der Segeljacht Balu von Bremen nach Tobago,270
Learn To Sail,The Simplest Way to Start Sailing: The Perfect Guide for Beginners,256
"Salt, Sweat, Tears",The Men Who Rowed the Oceans,272
Kitesurfing Essentials: Learn How to Kite Surf Safely and Easily NOW!,Learn How to Kite Surf Safely and Easily Now,69
The Topper Book,Topper Sailing from Start to Finish,127
Roeien als Denksport,,47
Escort,,99
Fifty Places to Paddle Before You Die,Kayaking and Rafting Experts Share the World's Greatest Destinations,224
Paddling Colorado,A Guide to the State's Best Paddling Routes,176
Learn to Water Ski in 60 Minutes: Your Simple Step by Step Guide to Waterskiing Success!,,53
SBF - Binnen Segel Fragen 254 - 300,Sportbootf??hrerschein Binnen Segel Fragen 254 - 300,49
Kitesurfing for spectators,,27
Total Immersion,"The Revolutionary Way To Swim Better, Faster, and Easier",320
Rowing,the Starter's Guide,12
Dinghy Sailing: Start To Finish (For Tablet Devices),Beginner to Advanced: The Perfect Guide to Improving Your Sailing Skills,192
Experience Pipeline,,188
Figli di una... shamandura,,222
Left for Dead,Surviving the Deadliest Storm in Modern Sailing History,192
Sculling,"Training, Technique and Performance",144
Fiskepladser og oplevelser,,36
How To Increase Your Stand Up Paddling Performance,Beginner to Elite,356
101 High Jump Drills (Revised Edition),,125
All for a Few Perfect Waves,,528
Be Your Own Sailing Coach (For Tablet Devices),Become a Winner with 20 Goals for Racing Success,292
Sea Kayaking,"Basic Skills, Paddling Techniques, and Expedition Planning",256
Tricktionary 2 - Edicion Espanola,La Biblia suprema del windsurf,292
Paddling South Carolina,A Guide to the State's Greatest Paddling Adventures,232
101 Pole Vaulting Tips and Drills,,170
Amazing Sailing Stories,True Adventures from The High Seas,272
Beach Camp at Sunset Bay,The Best Adventure Summer Camp in the Pacific Northwest on Puget Sound,71
Class 1 Mediterranean Grand Prix,Offshore a Terracina 17-20 ottobre 2013,27
Sea Kayak Essentials Vol 1,,53
Singlehanded Sailing,"Thoughts, Tips, Techniques & Tactics",256
Plane Shaping,How To Make A Surfboard,81
101 Winning Racing Strategies for Runners,,95
An iUnderwater Videobook - Philippines,iUnderwater Videobook - Scuba Diving Underwater In Anilao in the Philippines,85
Belgrade Serbia: Freediving,,453
Come Swim With Me,A Parent's Guide to Teaching Their Children to Swim,112
Legends of Surfing,The Greatest Surfriders from Duke Kahanamoku to Kelly Slater,208
Seemannsknoten,Knoten f??r die Sportbootpr??fung,56
Spanish Castle to White Night,,211
Aprende con la magia de los cuentos,Descubrimiento del agua,80
Board,,204
Skipper 101,,51
Play Water Polo,Interactive Instructional Sports Guide,94
Spearfishing Manual: Insider Secrets of Spearfishing for Beginners to Die-Hard Spearos,,60
